Anno_evento;Luogo_matrimonio;Rito;Stato_civile_marito;Stato_civile_moglie;Cittadinanza_marito;Cittadinanza_moglie;Eta_marito;Eta_moglie;Numerosità;Residenza_moglie;Residenza_marito;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;32;9;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;33;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;34;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;35;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;36;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;26;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;28;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;30;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;31;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;32;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;33;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;34;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;35;5;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;34;36;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;27;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;28;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;29;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;31;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;32;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;33;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;34;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;35;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;38;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;35;39;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;24;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;27;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;30;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;33;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;34;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;36;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;36;38;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;24;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;30;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;32;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;34;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;37;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;39;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;37;42;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;30;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;31;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;32;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;33;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;34;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;35;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;38;38;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;30;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;32;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;34;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;39;35;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;40;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;40;31;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;40;33;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;40;35;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;40;36;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;40;38;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;40;40;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;41;24;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;41;28;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;41;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;41;34;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;41;39;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;41;40;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;42;30;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;42;31;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;42;32;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;42;36;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;43;27;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;47;32;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;55;50;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;56;42;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;81;79;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Perù;32;30;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Stati Uniti d'America;28;28;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Non indicato;Italia;27;27;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Non indicato;Italia;27;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Divorziato o già coniugato;Nubile;Italia;Italia;70;57;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Vedovo;Nubile;Italia;Italia;52;46;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Vedovo;Nubile;Italia;Italia;58;49;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Albania;41;35;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Argentina;23;24;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Brasile;32;22;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Cinese, Repubblica Popolare;39;32;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Ecuador;37;35;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Ecuador;65;39;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Francia;42;34;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Israele;36;31;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Perù;35;29;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Perù;41;28;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Polonia;32;29;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Romania;31;21;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Spagna;31;27;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Stati Uniti d'America;39;37;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Svizzera;32;32;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Vedovo;Vedova;Italia;Svizzera;80;67;1;Estero;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Cile;Italia;40;34;1;Italia;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Ecuador;Italia;32;32;1;Italia;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Francia;Italia;30;33;1;Italia;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Giappone;38;39;1;Italia;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;23;1;Italia;Milano;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;25;26;1;Italia;Milano;;;;;;;;
