Cittadinanza;Genere;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Germania;Maschi;1049;1028;1043;1038;545;1027;1005;1026;1036;1032;1071;1161;1156;1161;1196;1114;698;735;794;815;827;820;863;864;884;904;824;642
Germania Democratica;Femmine;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Germania Democratica;Maschi;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ghana;Femmine;4;6;6;9;11;0;17;20;19;24;28;35;38;38;43;41;37;45;54;51;52;42;50;54;53;51;50;43
Ghana;Maschi;9;11;10;15;10;0;85;87;82;83;83;91;93;95;102;95;69;69;71;62;63;54;71;78;79;126;116;110
Giamaica;Femmine;3;4;3;4;5;0;5;5;6;7;9;9;9;9;9;10;7;7;7;5;6;6;6;6;5;4;6;4
Giamaica;Maschi;2;2;2;2;2;0;3;3;3;3;3;4;5;5;5;5;2;3;7;7;7;6;10;9;10;10;12;9
Giappone;Femmine;504;585;640;699;659;820;899;956;1010;1006;1082;1162;1191;1206;1333;1359;858;902;1010;1039;1078;1087;1154;1172;1214;1296;1276;969
Giappone;Maschi;629;698;750;807;596;940;989;1018;1044;1072;1141;1175;1185;1177;1249;1243;649;690;780;818;841;880;934;963;992;1048;1029;630
Gibuti;Femmine;0;0;0;0;2;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Gibuti;Maschi;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Giordania;Femmine;5;6;7;9;12;0;13;21;28;30;29;39;41;42;44;48;38;47;45;47;49;53;56;58;57;61;50;42
Giordania;Maschi;153;160;161;178;79;0;223;224;205;206;220;229;225;225;235;224;113;135;138;130;126;125;124;117;112;122;111;79
Grecia;Femmine;309;317;318;325;126;326;335;338;339;339;347;375;380;391;409;397;186;193;194;199;203;214;229;244;255;287;265;216
Grecia;Maschi;611;630;647;657;180;693;715;727;727;701;713;736;746;758;761;675;193;197;201;212;210;218;229;241;249;274;249;191
Grenada;Femmine;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grenada;Maschi;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
